package;N;R;BS;k;mode;actualMode;nIter;sharedBytes;avgKernelMs;gflops;cpuMs;cpuGflops;valid
0;256;1;8;1;a;a;20;0;0,118472;4,901107;1,327206;0,437494;PASS
0;256;1;8;1;b;b;20;0;0,437658;1,326708;1,327206;0,437494;PASS
0;256;1;8;1;c;c;20;400;0,437862;1,326088;1,327206;0,437494;PASS
0;256;1;8;1;d;d;20;400;0,290800;1,996713;1,327206;0,437494;PASS
0;256;1;8;2;a;a;20;0;0,229274;2,532537;1,327206;0,437494;PASS
0;256;1;8;2;b;b;20;0;0,185242;3,134523;1,327206;0,437494;PASS
0;256;1;8;2;c;c;20;720;0,350258;1,657763;1,327206;0,437494;PASS
0;256;1;8;2;d;d;20;720;0,202030;2,874043;1,327206;0,437494;PASS
0;256;1;8;8;a;a;20;0;0,157523;3,686086;1,327206;0,437494;PASS
0;256;1;8;8;b;b;20;0;0,142336;4,079390;1,327206;0,437494;PASS
0;256;1;8;8;c;c;20;2640;0,137830;4,212743;1,327206;0,437494;PASS
0;256;1;8;8;d;d;20;2640;0,137859;4,211862;1,327206;0,437494;PASS
0;256;1;16;1;a;a;20;0;0,139301;4,168275;1,327206;0,437494;PASS
0;256;1;16;1;b;b;20;0;0,414960;1,399277;1,327206;0,437494;PASS
0;256;1;16;1;c;c;20;1296;0,282726;2,053731;1,327206;0,437494;PASS
0;256;1;16;1;d;d;20;1296;0,228096;2,545612;1,327206;0,437494;PASS
0;256;1;16;2;a;a;20;0;0,187392;3,098553;1,327206;0,437494;PASS
0;256;1;16;2;b;b;20;0;0,268032;2,166323;1,327206;0,437494;PASS
0;256;1;16;2;c;c;20;2448;0,185242;3,134523;1,327206;0,437494;PASS
0;256;1;16;2;d;d;20;2448;0,160256;3,623228;1,327206;0,437494;PASS
0;256;1;16;8;a;a;20;0;0,158413;3,665386;1,327206;0,437494;PASS
0;256;1;16;8;b;b;20;0;0,158042;3,673995;1,327206;0,437494;PASS
0;256;1;16;8;c;c;20;9360;0,160709;3,613019;1,327206;0,437494;PASS
0;256;1;16;8;d;d;20;9360;0,157525;3,686048;1,327206;0,437494;PASS
0;256;1;32;1;a;a;20;0;0,163942;3,541756;1,327206;0,437494;PASS
0;256;1;32;1;b;b;20;0;0,162048;3,583161;1,327206;0,437494;PASS
0;256;1;32;1;c;c;20;4624;0,159784;3,633931;1,327206;0,437494;PASS
0;256;1;32;1;d;d;20;4624;0,160307;3,622071;1,327206;0,437494;PASS
0;256;1;32;2;a;a;20;0;0,157901;3,677271;1,327206;0,437494;PASS
0;256;1;32;2;b;b;20;0;0,157333;3,690546;1,327206;0,437494;PASS
0;256;1;32;2;c;c;20;8976;0,157166;3,694454;1,327206;0,437494;PASS
0;256;1;32;2;d;d;20;8976;0,157338;3,690434;1,327206;0,437494;PASS
0;256;1;32;8;a;a;20;0;0,158566;3,661835;1,327206;0,437494;PASS
0;256;1;32;8;b;b;20;0;0,159418;3,642283;1,327206;0,437494;PASS
0;256;1;32;8;c;c;20;35088;0,158050;3,673809;1,327206;0,437494;PASS
0;256;1;32;8;d;d;20;35088;0,158853;3,655233;1,327206;0,437494;PASS
0;256;20;8;1;a;a;20;0;0,771672;101,634807;168,644551;0,465053;PASS
0;256;20;8;1;b;b;20;0;0,813005;96,467743;168,644551;0,465053;PASS
0;256;20;8;1;c;c;20;9216;0,190760;411,138258;168,644551;0,465053;PASS
0;256;20;8;1;d;d;20;9216;0,356301;220,119445;168,644551;0,465053;PASS
0;256;20;8;2;a;a;20;0;0,946227;82,885737;168,644551;0,465053;PASS
0;256;20;8;2;b;b;20;0;0,812781;96,494331;168,644551;0,465053;PASS
0;256;20;8;2;c;c;20;10752;0,197274;397,563262;168,644551;0,465053;PASS
0;256;20;8;2;d;d;20;10752;0,619674;126,564594;168,644551;0,465053;PASS
0;256;20;8;8;a;a;20;0;1,989018;39,430889;168,644551;0,465053;PASS
0;256;20;8;8;b;b;20;0;1,981491;39,580662;168,644551;0,465053;PASS
0;256;20;8;8;c;c;20;19968;0,756374;103,690362;168,644551;0,465053;PASS
0;256;20;8;8;d;d;20;19968;0,719258;109,041235;168,644551;0,465053;PASS
0;256;20;16;1;a;a;20;0;0,430694;182,098346;168,644551;0,465053;PASS
