package;N;R;BS;k;mode;actualMode;nIter;sharedBytes;avgKernelMs;gflops;cpuMs;cpuGflops;valid
0;256;1;8;1;a;a;20;0;0,134605;4,313695;1,376055;0,421963;PASS
0;256;1;8;1;b;b;20;0;0,115507;5,026908;1,376055;0,421963;PASS
0;256;1;8;1;c;c;20;400;0,113408;5,119956;1,376055;0,421963;PASS
0;256;1;8;1;d;d;20;400;0,114739;5,060555;1,376055;0,421963;PASS
0;256;1;8;2;a;a;20;0;0,113152;5,131540;1,376055;0,421963;PASS
0;256;1;8;2;b;b;20;0;0,116008;5,005207;1,376055;0,421963;PASS
0;256;1;8;2;c;c;20;720;0,516379;1,124453;1,376055;0,421963;PASS
0;256;1;8;2;d;d;20;720;0,465494;1,247371;1,376055;0,421963;PASS
0;256;1;8;8;a;a;20;0;0,248832;2,333478;1,376055;0,421963;PASS
0;256;1;8;8;b;b;20;0;0,186298;3,116755;1,376055;0,421963;PASS
0;256;1;8;8;c;c;20;2640;0,161126;3,603655;1,376055;0,421963;PASS
0;256;1;8;8;d;d;20;2640;0,162752;3,567661;1,376055;0,421963;PASS
0;256;1;16;1;a;a;20;0;0,143744;4,039431;1,376055;0,421963;PASS
0;256;1;16;1;b;b;20;0;0,144077;4,030101;1,376055;0,421963;PASS
0;256;1;16;1;c;c;20;1296;0,485834;1,195150;1,376055;0,421963;PASS
0;256;1;16;1;d;d;20;1296;0,257587;2,254165;1,376055;0,421963;PASS
0;256;1;16;2;a;a;20;0;0,185242;3,134523;1,376055;0,421963;PASS
0;256;1;16;2;b;b;20;0;0,160410;3,619758;1,376055;0,421963;PASS
0;256;1;16;2;c;c;20;2448;0,163480;3,551774;1,376055;0,421963;PASS
0;256;1;16;2;d;d;20;2448;0,161280;3,600223;1,376055;0,421963;PASS
0;256;1;16;8;a;a;20;0;0,161170;3,602689;1,376055;0,421963;PASS
0;256;1;16;8;b;b;20;0;0,485837;1,195142;1,376055;0,421963;PASS
0;256;1;16;8;c;c;20;9360;0,256862;2,260525;1,376055;0,421963;PASS
0;256;1;16;8;d;d;20;9360;0,184422;3,148446;1,376055;0,421963;PASS
0;256;1;32;1;a;a;20;0;0,162048;3,583161;1,376055;0,421963;PASS
0;256;1;32;1;b;b;20;0;0,165018;3,518679;1,376055;0,421963;PASS
0;256;1;32;1;c;c;20;4624;0,144128;4,028669;1,376055;0,421963;PASS
0;256;1;32;1;d;d;20;4624;0,144640;4,014408;1,376055;0,421963;PASS
0;256;1;32;2;a;a;20;0;0,146003;3,976927;1,376055;0,421963;PASS
0;256;1;32;2;b;b;20;0;0,142882;4,063812;1,376055;0,421963;PASS
0;256;1;32;2;c;c;20;8976;0,142797;4,066226;1,376055;0,421963;PASS
0;256;1;32;2;d;d;20;8976;0,147026;3,949271;1,376055;0,421963;PASS
0;256;1;32;8;a;a;20;0;0,144123;4,028803;1,376055;0,421963;PASS
0;256;1;32;8;b;b;20;0;0,143974;4,032967;1,376055;0,421963;PASS
0;256;1;32;8;c;c;20;35088;0,148429;3,911936;1,376055;0,421963;PASS
0;256;1;32;8;d;d;20;35088;0,143811;4,037544;1,376055;0,421963;PASS
0;256;20;8;1;a;a;20;0;0,768243;102,088420;165,485517;0,473931;PASS
0;256;20;8;1;b;b;20;0;0,824730;95,096299;165,485517;0,473931;PASS
0;256;20;8;1;c;c;20;9216;0,193005;406,356404;165,485517;0,473931;PASS
0;256;20;8;1;d;d;20;9216;0,370944;211,430125;165,485517;0,473931;PASS
0;256;20;8;2;a;a;20;0;0,950016;82,555172;165,485517;0,473931;PASS
0;256;20;8;2;b;b;20;0;0,813134;96,452367;165,485517;0,473931;PASS
0;256;20;8;2;c;c;20;10752;0,195840;400,473527;165,485517;0,473931;PASS
0;256;20;8;2;d;d;20;10752;0,705771;111,124873;165,485517;0,473931;PASS
0;256;20;8;8;a;a;20;0;2,392160;32,785740;165,485517;0,473931;PASS
0;256;20;8;8;b;b;20;0;2,374755;33,026029;165,485517;0,473931;PASS
0;256;20;8;8;c;c;20;19968;0,922915;84,979355;165,485517;0,473931;PASS
0;256;20;8;8;d;d;20;19968;0,774195;101,303569;165,485517;0,473931;PASS
0;256;20;16;1;a;a;20;0;0,467440;167,783541;165,485517;0,473931;PASS
0;256;20;16;1;b;b;20;0;0,440832;177,910716;165,485517;0,473931;PASS
0;256;20;16;1;c;c;20;12544;0,159675;491,176674;165,485517;0,473931;PASS
0;256;20;16;1;d;d;20;12544;0,361574;216,908978;165,485517;0,473931;PASS
0;256;20;16;2;a;a;20;0;0,556954;140,817355;165,485517;0,473931;PASS
0;256;20;16;2;b;b;20;0;0,554835;141,355017;165,485517;0,473931;PASS
0;256;20;16;2;c;c;20;16128;0,162662;482,156519;165,485517;0,473931;PASS
0;256;20;16;2;d;d;20;16128;0,617114;127,089627;165,485517;0,473931;PASS
0;256;20;16;8;a;a;20;0;2,414797;32,478399;165,485517;0,473931;PASS
0;256;20;16;8;b;b;20;0;2,244637;34,940503;165,485517;0,473931;PASS
0;256;20;16;8;c;c;20;37632;0,910677;86,121376;165,485517;0,473931;PASS
0;256;20;16;8;d;d;20;37632;1,811200;43,302086;165,485517;0,473931;PASS
0;256;20;32;1;a;a;20;0;0,363878;215,535568;165,485517;0,473931;PASS
0;256;20;32;1;b;b;20;0;0,410611;191,004863;165,485517;0,473931;PASS
0;256;20;32;1;c;c;20;20736;0,117965;664,848609;165,485517;0,473931;PASS
0;256;20;32;1;d;d;20;20736;0,631296;124,234486;165,485517;0,473931;PASS
0;256;20;32;2;a;a;20;0;0,627557;124,974721;165,485517;0,473931;PASS
0;256;20;32;2;b;b;20;0;0,641587;122,241739;165,485517;0,473931;PASS
0;256;20;32;2;c;c;20;29952;0,235826;332,570902;165,485517;0,473931;PASS
0;256;20;32;2;d;d;20;29952;1,587706;49,397530;165,485517;0,473931;PASS
0;256;20;32;8;a;a;20;0;3,111467;25,206352;165,485517;0,473931;PASS
0;256;20;32;8;b;b;20;0;3,099896;25,300441;165,485517;0,473931;PASS
0;256;20;32;8;c;a;20;0;3,111878;25,203021;165,485517;0,473931;PASS
0;256;20;32;8;d;a;20;0;3,112115;25,201102;165,485517;0,473931;PASS
0;512;1;8;1;a;a;20;0;0,130706;17,909715;5,433922;0,430794;PASS
0;512;1;8;1;b;b;20;0;0,128614;18,200917;5,433922;0,430794;PASS
0;512;1;8;1;c;c;20;400;0,124006;18,877251;5,433922;0,430794;PASS
0;512;1;8;1;d;d;20;400;0,115042;20,348291;5,433922;0,430794;PASS
0;512;1;8;2;a;a;20;0;0,118682;19,724204;5,433922;0,430794;PASS
0;512;1;8;2;b;b;20;0;0,113946;20,544013;5,433922;0,430794;PASS
0;512;1;8;2;c;c;20;720;0,113202;20,679037;5,433922;0,430794;PASS
0;512;1;8;2;d;d;20;720;0,114062;20,522976;5,433922;0,430794;PASS
0;512;1;8;8;a;a;20;0;0,115558;20,257290;5,433922;0,430794;PASS
0;512;1;8;8;b;b;20;0;0,117555;19,913198;5,433922;0,430794;PASS
0;512;1;8;8;c;c;20;2640;0,113853;20,560759;5,433922;0,430794;PASS
0;512;1;8;8;d;d;20;2640;0,114074;20,520962;5,433922;0,430794;PASS
0;512;1;16;1;a;a;20;0;0,115661;20,239355;5,433922;0,430794;PASS
0;512;1;16;1;b;b;20;0;0,114893;20,374644;5,433922;0,430794;PASS
0;512;1;16;1;c;c;20;1296;0,114995;20,356501;5,433922;0,430794;PASS
0;512;1;16;1;d;d;20;1296;0,112230;20,857986;5,433922;0,430794;PASS
0;512;1;16;2;a;a;20;0;0,112282;20,848474;5,433922;0,430794;PASS
0;512;1;16;2;b;b;20;0;0,504416;4,640812;5,433922;0,430794;PASS
0;512;1;16;2;c;c;20;2448;0,112326;20,840160;5,433922;0,430794;PASS
0;512;1;16;2;d;d;20;2448;0,112230;20,857986;5,433922;0,430794;PASS
0;512;1;16;8;a;a;20;0;0,113920;20,548631;5,433922;0,430794;PASS
0;512;1;16;8;b;b;20;0;0,118555;19,745233;5,433922;0,430794;PASS
0;512;1;16;8;c;c;20;9360;0,111800;20,938282;5,433922;0,430794;PASS
0;512;1;16;8;d;d;20;9360;0,482602;4,850585;5,433922;0,430794;PASS
0;512;1;32;1;a;a;20;0;0,220467;10,617906;5,433922;0,430794;PASS
0;512;1;32;1;b;b;20;0;0,161125;14,528490;5,433922;0,430794;PASS
0;512;1;32;1;c;c;20;4624;0,144269;16,225962;5,433922;0,430794;PASS
0;512;1;32;1;d;d;20;4624;0,130125;17,989654;5,433922;0,430794;PASS
0;512;1;32;2;a;a;20;0;0,130099;17,993193;5,433922;0,430794;PASS
0;512;1;32;2;b;b;20;0;0,120218;19,472191;5,433922;0,430794;PASS
0;512;1;32;2;c;c;20;8976;0,118659;19,727927;5,433922;0,430794;PASS
0;512;1;32;2;d;d;20;8976;0,119091;19,656364;5,433922;0,430794;PASS
0;512;1;32;8;a;a;20;0;0,122010;19,186195;5,433922;0,430794;PASS
0;512;1;32;8;b;b;20;0;0,120320;19,455619;5,433922;0,430794;PASS
0;512;1;32;8;c;c;20;35088;0,119397;19,606052;5,433922;0,430794;PASS
0;512;1;32;8;d;d;20;35088;0,120307;19,457689;5,433922;0,430794;PASS
0;512;20;8;1;a;a;20;0;2,719232;137,722675;746,194192;0,501880;PASS
0;512;20;8;1;b;b;20;0;2,525235;148,302981;746,194192;0,501880;PASS
0;512;20;8;1;c;c;20;9216;0,669594;559,294313;746,194192;0,501880;PASS
0;512;20;8;1;d;d;20;9216;1,282694;291,963459;746,194192;0,501880;PASS
0;512;20;8;2;a;a;20;0;3,608167;103,792301;746,194192;0,501880;PASS
0;512;20;8;2;b;b;20;0;3,073517;121,847357;746,194192;0,501880;PASS
0;512;20;8;2;c;c;20;10752;0,651813;574,551326;746,194192;0,501880;PASS
0;512;20;8;2;d;d;20;10752;2,533885;147,796736;746,194192;0,501880;PASS
0;512;20;8;8;a;a;20;0;7,721862;48,498653;746,194192;0,501880;PASS
0;512;20;8;8;b;b;20;0;7,837594;47,782510;746,194192;0,501880;PASS
0;512;20;8;8;c;c;20;19968;2,763926;135,495618;746,194192;0,501880;PASS
0;512;20;8;8;d;d;20;19968;2,761882;135,595928;746,194192;0,501880;PASS
0;512;20;16;1;a;a;20;0;1,603123;233,606428;746,194192;0,501880;PASS
0;512;20;16;1;b;b;20;0;1,469133;254,912219;746,194192;0,501880;PASS
0;512;20;16;1;c;c;20;12544;0,642866;582,547733;746,194192;0,501880;PASS
0;512;20;16;1;d;d;20;12544;1,334886;280,548154;746,194192;0,501880;PASS
0;512;20;16;2;a;a;20;0;2,368205;158,136615;746,194192;0,501880;PASS
0;512;20;16;2;b;b;20;0;2,297037;163,036096;746,194192;0,501880;PASS
0;512;20;16;2;c;c;20;16128;0,666880;561,570164;746,194192;0,501880;PASS
0;512;20;16;2;d;d;20;16128;2,666189;140,462634;746,194192;0,501880;PASS
0;512;20;16;8;a;a;20;0;7,819821;47,891109;746,194192;0,501880;PASS
0;512;20;16;8;b;b;20;0;7,804467;47,985327;746,194192;0,501880;PASS
0;512;20;16;8;c;c;20;37632;2,718907;137,739129;746,194192;0,501880;PASS
0;512;20;16;8;d;d;20;37632;5,420595;69,088337;746,194192;0,501880;PASS
0;512;20;32;1;a;a;20;0;1,359958;275,376007;746,194192;0,501880;PASS
0;512;20;32;1;b;b;20;0;1,364224;274,514974;746,194192;0,501880;PASS
0;512;20;32;1;c;c;20;20736;0,353526;1059,326552;746,194192;0,501880;PASS
0;512;20;32;1;d;d;20;20736;2,575923;145,384734;746,194192;0,501880;PASS
0;512;20;32;2;a;a;20;0;2,187930;171,166346;746,194192;0,501880;PASS
0;512;20;32;2;b;b;20;0;2,246040;166,737863;746,194192;0,501880;PASS
0;512;20;32;2;c;c;20;29952;0,719294;520,648988;746,194192;0,501880;PASS
0;512;20;32;2;d;d;20;29952;5,242522;71,435070;746,194192;0,501880;PASS
0;512;20;32;8;a;a;20;0;9,513107;39,366728;746,194192;0,501880;PASS
0;512;20;32;8;b;b;20;0;9,560883;39,170011;746,194192;0,501880;PASS
0;512;20;32;8;c;a;20;0;9,517773;39,347431;746,194192;0,501880;PASS
0;512;20;32;8;d;a;20;0;9,513728;39,364158;746,194192;0,501880;PASS
0;1024;1;8;1;a;a;20;0;0,153883;61,087606;20,386633;0,461104;PASS
0;1024;1;8;1;b;b;20;0;0,110122;85,363420;20,386633;0,461104;PASS
0;1024;1;8;1;c;c;20;400;0,112781;83,350679;20,386633;0,461104;PASS
0;1024;1;8;1;d;d;20;400;0,143104;65,688979;20,386633;0,461104;PASS
0;1024;1;8;2;a;a;20;0;0,129003;72,869167;20,386633;0,461104;PASS
0;1024;1;8;2;b;b;20;0;0,107110;87,763238;20,386633;0,461104;PASS
0;1024;1;8;2;c;c;20;720;0,099715;94,272050;20,386633;0,461104;PASS
0;1024;1;8;2;d;d;20;720;0,101222;92,868341;20,386633;0,461104;PASS
0;1024;1;8;8;a;a;20;0;0,472371;19,900358;20,386633;0,461104;PASS
0;1024;1;8;8;b;b;20;0;0,471192;19,950161;20,386633;0,461104;PASS
0;1024;1;8;8;c;c;20;2640;0,100285;93,736595;20,386633;0,461104;PASS
0;1024;1;8;8;d;d;20;2640;0,104550;89,912198;20,386633;0,461104;PASS
0;1024;1;16;1;a;a;20;0;0,099922;94,077315;20,386633;0,461104;PASS
0;1024;1;16;1;b;b;20;0;0,102861;91,389104;20,386633;0,461104;PASS
0;1024;1;16;1;c;c;20;1296;0,100352;93,673827;20,386633;0,461104;PASS
0;1024;1;16;1;d;d;20;1296;0,100864;93,198322;20,386633;0,461104;PASS
0;1024;1;16;2;a;a;20;0;0,100131;93,880387;20,386633;0,461104;PASS
0;1024;1;16;2;b;b;20;0;0,100352;93,673827;20,386633;0,461104;PASS
0;1024;1;16;2;c;c;20;2448;0,099174;94,786116;20,386633;0,461104;PASS
0;1024;1;16;2;d;d;20;2448;0,099738;94,250872;20,386633;0,461104;PASS
0;1024;1;16;8;a;a;20;0;0,432691;21,725323;20,386633;0,461104;PASS
0;1024;1;16;8;b;b;20;0;0,428235;21,951386;20,386633;0,461104;PASS
0;1024;1;16;8;c;c;20;9360;0,101000;93,072833;20,386633;0,461104;PASS
0;1024;1;16;8;d;d;20;9360;0,101171;92,915340;20,386633;0,461104;PASS
0;1024;1;32;1;a;a;20;0;0,099322;94,645638;20,386633;0,461104;PASS
0;1024;1;32;1;b;b;20;0;0,100250;93,769511;20,386633;0,461104;PASS
0;1024;1;32;1;c;c;20;4624;0,100352;93,673827;20,386633;0,461104;PASS
0;1024;1;32;1;d;d;20;4624;0,114688;81,964597;20,386633;0,461104;PASS
0;1024;1;32;2;a;a;20;0;0,100038;93,967479;20,386633;0,461104;PASS
0;1024;1;32;2;b;b;20;0;0,099789;94,202513;20,386633;0,461104;PASS
0;1024;1;32;2;c;c;20;8976;0,101011;93,062508;20,386633;0,461104;PASS
0;1024;1;32;2;d;d;20;8976;0,101274;92,821390;20,386633;0,461104;PASS
0;1024;1;32;8;a;a;20;0;0,396987;23,679242;20,386633;0,461104;PASS
0;1024;1;32;8;b;b;20;0;0,394957;23,800972;20,386633;0,461104;PASS
0;1024;1;32;8;c;c;20;35088;0,124349;75,596679;20,386633;0,461104;PASS
0;1024;1;32;8;d;d;20;35088;0,168038;55,941712;20,386633;0,461104;PASS
0;1024;20;8;1;a;a;20;0;14,153319;115,000472;3221,352424;0,505266;PASS
0;1024;20;8;1;b;b;20;0;11,480453;141,774752;3221,352424;0,505266;PASS
0;1024;20;8;1;c;c;20;9216;2,788045;583,792044;3221,352424;0,505266;PASS
0;1024;20;8;1;d;d;20;9216;5,522838;294,710486;3221,352424;0,505266;PASS
0;1024;20;8;2;a;a;20;0;16,170445;100,655134;3221,352424;0,505266;PASS
0;1024;20;8;2;b;b;20;0;13,532826;120,273349;3221,352424;0,505266;PASS
0;1024;20;8;2;c;c;20;10752;2,746616;592,597708;3221,352424;0,505266;PASS
0;1024;20;8;2;d;d;20;10752;10,866838;149,780306;3221,352424;0,505266;PASS
0;1024;20;8;8;a;a;20;0;36,459143;44,642803;3221,352424;0,505266;PASS
0;1024;20;8;8;b;b;20;0;37,662555;43,216355;3221,352424;0,505266;PASS
0;1024;20;8;8;c;c;20;19968;11,056589;147,209811;3221,352424;0,505266;PASS
0;1024;20;8;8;d;d;20;19968;11,054387;147,239132;3221,352424;0,505266;PASS
0;1024;20;16;1;a;a;20;0;7,019566;231,871637;3221,352424;0,505266;PASS
0;1024;20;16;1;b;b;20;0;6,435686;252,908270;3221,352424;0,505266;PASS
0;1024;20;16;1;c;c;20;12544;2,737555;594,559110;3221,352424;0,505266;PASS
0;1024;20;16;1;d;d;20;12544;5,479973;297,015767;3221,352424;0,505266;PASS
0;1024;20;16;2;a;a;20;0;10,123091;160,784716;3221,352424;0,505266;PASS
0;1024;20;16;2;b;b;20;0;9,756723;166,822234;3221,352424;0,505266;PASS
0;1024;20;16;2;c;c;20;16128;2,778866;585,720419;3221,352424;0,505266;PASS
0;1024;20;16;2;d;d;20;16128;10,824402;150,367508;3221,352424;0,505266;PASS
0;1024;20;16;8;a;a;20;0;36,894873;44,115569;3221,352424;0,505266;PASS
0;1024;20;16;8;b;b;20;0;36,791296;44,239766;3221,352424;0,505266;PASS
0;1024;20;16;8;c;c;20;37632;11,378867;143,040453;3221,352424;0,505266;PASS
0;1024;20;16;8;d;d;20;37632;22,372916;72,750390;3221,352424;0,505266;PASS
0;1024;20;32;1;a;a;20;0;6,098635;266,885673;3221,352424;0,505266;PASS
0;1024;20;32;1;b;b;20;0;5,904587;275,656585;3221,352424;0,505266;PASS
0;1024;20;32;1;c;c;20;20736;1,462733;1112,737983;3221,352424;0,505266;PASS
0;1024;20;32;1;d;d;20;20736;10,934272;148,856580;3221,352424;0,505266;PASS
0;1024;20;32;2;a;a;20;0;9,435955;172,493227;3221,352424;0,505266;PASS
0;1024;20;32;2;b;b;20;0;9,727898;167,316557;3221,352424;0,505266;PASS
0;1024;20;32;2;c;c;20;29952;2,810675;579,091570;3221,352424;0,505266;PASS
0;1024;20;32;2;d;d;20;29952;21,980467;74,049306;3221,352424;0,505266;PASS
0;1024;20;32;8;a;a;20;0;36,826727;44,197203;3221,352424;0,505266;PASS
0;1024;20;32;8;b;b;20;0;37,856848;42,994555;3221,352424;0,505266;PASS
0;1024;20;32;8;c;a;20;0;36,812927;44,213771;3221,352424;0,505266;PASS
0;1024;20;32;8;d;a;20;0;36,823807;44,200708;3221,352424;0,505266;PASS
0;2048;1;8;1;a;a;20;0;0,342408;110,029687;81,546238;0,462008;PASS
0;2048;1;8;1;b;b;20;0;0,360853;104,405578;81,546238;0,462008;PASS
0;2048;1;8;1;c;c;20;400;0,280781;134,179563;81,546238;0,462008;PASS
0;2048;1;8;1;d;d;20;400;0,332698;113,241103;81,546238;0,462008;PASS
0;2048;1;8;2;a;a;20;0;0,390082;96,582470;81,546238;0,462008;PASS
0;2048;1;8;2;b;b;20;0;0,351488;107,187286;81,546238;0,462008;PASS
0;2048;1;8;2;c;c;20;720;0,221326;170,223905;81,546238;0,462008;PASS
0;2048;1;8;2;d;d;20;720;0,239155;157,533871;81,546238;0,462008;PASS
0;2048;1;8;8;a;a;20;0;1,491917;25,252777;81,546238;0,462008;PASS
0;2048;1;8;8;b;b;20;0;1,514234;24,880602;81,546238;0,462008;PASS
0;2048;1;8;8;c;c;20;2640;0,255437;147,492623;81,546238;0,462008;PASS
0;2048;1;8;8;d;d;20;2640;0,267674;140,749937;81,546238;0,462008;PASS
0;2048;1;16;1;a;a;20;0;0,257280;146,435965;81,546238;0,462008;PASS
0;2048;1;16;1;b;b;20;0;0,259994;144,907582;81,546238;0,462008;PASS
0;2048;1;16;1;c;c;20;1296;0,267776;140,696125;81,546238;0,462008;PASS
0;2048;1;16;1;d;d;20;1296;0,323480;116,467920;81,546238;0,462008;PASS
0;2048;1;16;2;a;a;20;0;0,265779;141,753165;81,546238;0,462008;PASS
0;2048;1;16;2;b;b;20;0;0,270318;139,372849;81,546238;0,462008;PASS
