BS;N;R;k;mode;actualMode;n_runs;avgKernelMs_med;avgKernelMs_mean;avgKernelMs_std;gflops_med;gflops_mean;cpuMs_med;sharedBytes_med;pass_rate;ops;outWidth;outHeight;estBandwidth_GBps;arithIntensity_FlopPerByte
16;256;1;1;a;a;1;0.143744;0.143744;;4.039431;4.039431;1.376055;0.0;1.0;580644;254;254;17.953027604630453;0.225
16;256;1;1;b;b;1;0.144077;0.144077;;4.030101;4.030101;1.376055;0.0;1.0;580644;254;254;17.91153341615941;0.225
16;256;1;1;c;c;1;0.485834;0.485834;;1.19515;1.19515;1.376055;1296.0;1.0;580644;254;254;1.2140772362576517;0.9844093313440934
16;256;1;1;d;d;1;0.257587;0.257587;;2.254165;2.254165;1.376055;1296.0;1.0;580644;254;254;2.2898671128589565;0.9844093313440934
16;256;1;2;a;a;1;0.185242;0.185242;;3.134523;3.134523;1.376055;0.0;1.0;580644;254;254;13.931181913388974;0.225
16;256;1;2;b;b;1;0.16041;0.16041;;3.619758;3.619758;1.376055;0.0;1.0;580644;254;254;16.08777507636681;0.225
16;256;1;2;c;c;1;0.16348;0.16348;;3.551774;3.551774;1.376055;2448.0;1.0;580644;254;254;3.495277709811598;1.016163581888948
16;256;1;2;d;d;1;0.16128;0.16128;;3.600223;3.600223;1.376055;2448.0;1.0;580644;254;254;3.5429563492063494;1.016163581888948
16;256;1;8;a;a;1;0.16117;0.16117;;3.602689;3.602689;1.376055;0.0;1.0;580644;254;254;16.01191288701371;0.225
16;256;1;8;b;b;1;0.485837;0.485837;;1.195142;1.195142;1.376055;0.0;1.0;580644;254;254;5.3117403573626545;0.225
16;256;1;8;c;c;1;0.256862;0.256862;;2.260525;2.260525;1.376055;9360.0;1.0;580644;254;254;2.1707531670702562;1.041356997331344
16;256;1;8;d;d;1;0.184422;0.184422;;3.148446;3.148446;1.376055;9360.0;1.0;580644;254;254;3.0234136925095707;1.041356997331344
16;256;20;1;a;a;1;0.46744;0.46744;;167.783541;167.783541;165.485517;0.0;1.0;78428736;216;216;671.5333903816532;0.2498513674197384
16;256;20;1;b;b;1;0.440832;0.440832;;177.910716;177.910716;165.485517;0.0;1.0;78428736;216;216;712.0662020905922;0.2498513674197384
16;256;20;1;c;c;1;0.159675;0.159675;;491.176674;491.176674;165.485517;12544.0;1.0;78428736;216;216;16.566450602786908;29.648916094067552
16;256;20;1;d;d;1;0.361574;0.361574;;216.908978;216.908978;165.485517;12544.0;1.0;78428736;216;216;7.3159242644659175;29.648916094067552
16;256;20;2;a;a;1;0.556954;0.556954;;140.817355;140.817355;165.485517;0.0;1.0;78428736;216;216;563.6041181138838;0.2498513674197384
16;256;20;2;b;b;1;0.554835;0.554835;;141.355017;141.355017;165.485517;0.0;1.0;78428736;216;216;565.7566087215118;0.2498513674197384
16;256;20;2;c;c;1;0.162662;0.162662;;482.156519;482.156519;165.485517;16128.0;1.0;78428736;216;216;10.864049378465776;44.38102998696219
16;256;20;2;d;d;1;0.617114;0.617114;;127.089627;127.089627;165.485517;16128.0;1.0;78428736;216;216;2.8636005665079702;44.38102998696219
16;256;20;8;a;a;1;2.414797;2.414797;;32.478399;32.478399;165.485517;0.0;1.0;78428736;216;216;129.9908721105749;0.2498513674197384
16;256;20;8;b;b;1;2.244637;2.244637;;34.940503;34.940503;165.485517;0.0;1.0;78428736;216;216;139.84513665238524;0.2498513674197384
16;256;20;8;c;c;1;0.910677;0.910677;;86.121376;86.121376;165.485517;37632.0;1.0;78428736;216;216;1.3619757608899754;63.23266253869969
16;256;20;8;d;d;1;1.8112;1.8112;;43.302086;43.302086;165.485517;37632.0;1.0;78428736;216;216;0.6848056537102474;63.23266253869969
16;512;1;1;a;a;1;0.115661;0.115661;;20.239355;20.239355;5.433922;0.0;1.0;2340900;510;510;89.9525336976163;0.225
16;512;1;1;b;b;1;0.114893;0.114893;;20.374644;20.374644;5.433922;0.0;1.0;2340900;510;510;90.55381964088326;0.225
16;512;1;1;c;c;1;0.114995;0.114995;;20.356501;20.356501;5.433922;1296.0;1.0;2340900;510;510;20.587886429844776;0.9887628489751231
16;512;1;1;d;d;1;0.11223;0.11223;;20.857986;20.857986;5.433922;1296.0;1.0;2340900;510;510;21.09510825982358;0.9887628489751231
16;512;1;2;a;a;1;0.112282;0.112282;;20.848474;20.848474;5.433922;0.0;1.0;2340900;510;510;92.65955362391122;0.225
16;512;1;2;b;b;1;0.504416;0.504416;;4.640812;4.640812;5.433922;0.0;1.0;2340900;510;510;20.625832646069913;0.225
