BS;N;R;k;mode;actualMode;n_runs;avgKernelMs_med;avgKernelMs_mean;avgKernelMs_std;gflops_med;gflops_mean;cpuMs_med;sharedBytes_med;pass_rate;ops;outWidth;outHeight;estBandwidth_GBps;arithIntensity_FlopPerByte
8;256;1;1;a;a;7;0.129477;0.13473314285714286;0.014961276766245264;4.484541;4.353654714285715;1.295464;0.0;1.0;580644;254;254;19.93126192296701;0.225
8;256;1;1;b;b;7;0.135627;0.1735772857142857;0.11712744082368043;4.281177;4.069742571428571;1.295464;0.0;1.0;580644;254;254;19.02747977910003;0.225
8;256;1;1;c;c;7;0.117482;0.164098;0.1207746390762564;4.942425;4.394414571428571;1.295464;400.0;1.0;580644;254;254;5.683117413731465;0.8696649811881425
8;256;1;1;d;d;7;0.126515;0.1659682857142857;0.08050027522461085;4.58952;4.086142;1.295464;400.0;1.0;580644;254;254;5.277350511797021;0.8696649811881425
8;256;1;2;a;a;7;0.118475;0.14248614285714287;0.046500376512556583;4.900975;4.379371571428572;1.295464;0.0;1.0;580644;254;254;21.78214813251741;0.225
8;256;1;2;b;b;7;0.114205;0.12646057142857142;0.030970701971686852;5.084235;4.796357;1.295464;0.0;1.0;580644;254;254;22.596558819666388;0.225
8;256;1;2;c;c;7;0.123238;0.15238500000000002;0.08823817183245206;4.711551;4.458164285714285;1.295464;720.0;1.0;580644;254;254;5.085314594524417;0.9265043784625597
8;256;1;2;d;d;7;0.12372;0.12886957142857142;0.03489575408678989;4.69321;4.732213142857143;1.295464;720.0;1.0;580644;254;254;5.065502748140964;0.9265043784625597
8;256;1;8;a;a;7;0.112435;0.12011714285714285;0.022354720205723676;5.164255;4.967626;1.295464;0.0;1.0;580644;254;254;22.95228354160182;0.225
8;256;1;8;b;b;7;0.109517;0.11575242857142856;0.018309800998892577;5.301872;5.119217857142857;1.295464;0.0;1.0;580644;254;254;23.563830272925664;0.225
8;256;1;8;c;c;7;0.12081;0.11850085714285714;0.01690139700762999;4.806274;4.988732714285715;1.295464;2640.0;1.0;580644;254;254;4.933234003807631;0.9742610539880265
