BS;R;mode;k;N_wys
8;1;a;1;4096.0
8;1;a;2;4096.0
8;1;a;8;1024.0
8;1;b;1;4096.0
8;1;b;2;4096.0
8;1;b;8;1024.0
8;1;c;1;4096.0
8;1;c;2;
8;1;c;8;4096.0
8;1;d;1;4096.0
8;1;d;2;4096.0
8;1;d;8;
8;20;a;1;1024.0
8;20;a;2;1024.0
8;20;a;8;1024.0
8;20;b;1;1024.0
8;20;b;2;1024.0
8;20;b;8;1024.0
8;20;c;1;2048.0
8;20;c;2;2048.0
8;20;c;8;4096.0
8;20;d;1;1024.0
8;20;d;2;1024.0
8;20;d;8;4096.0
16;1;a;1;4096.0
16;1;a;2;4096.0
16;1;a;8;1024.0
16;1;b;1;4096.0
16;1;b;2;4096.0
16;1;b;8;
16;1;c;1;4096.0
16;1;c;2;4096.0
16;1;c;8;
16;1;d;1;4096.0
16;1;d;2;4096.0
16;1;d;8;
16;20;a;1;1024.0
16;20;a;2;2048.0
16;20;a;8;1024.0
16;20;b;1;1024.0
16;20;b;2;2048.0
16;20;b;8;1024.0
16;20;c;1;2048.0
16;20;c;2;4096.0
16;20;c;8;4096.0
16;20;d;1;2048.0
16;20;d;2;2048.0
16;20;d;8;4096.0
32;1;a;1;4096.0
32;1;a;2;
32;1;a;8;
32;1;b;1;
32;1;b;2;
32;1;b;8;
32;1;c;1;4096.0
32;1;c;2;
32;1;c;8;4096.0
32;1;d;1;4096.0
32;1;d;2;4096.0
32;1;d;8;
32;20;a;1;1024.0
32;20;a;2;1024.0
32;20;a;8;4096.0
32;20;b;1;1024.0
32;20;b;2;1024.0
32;20;b;8;4096.0
32;20;c;1;2048.0
32;20;c;2;4096.0
32;20;c;8;4096.0
32;20;d;1;2048.0
32;20;d;2;2048.0
32;20;d;8;4096.0
