BS;N;R;k;mode;actualMode;n_runs;avgKernelMs_med;avgKernelMs_mean;avgKernelMs_std;gflops_med;gflops_mean;cpuMs_med;sharedBytes_med;pass_rate;ops;outWidth;outHeight;estBandwidth_GBps;arithIntensity_FlopPerByte
8;256;1;1;a;a;10;0.128428;0.1307558;0.011985680843777246;4.5222370000000005;4.4728886;1.2856025;0.0;1.0;580644;254;254;20.09406048525244;0.225
8;256;1;1;b;b;10;0.128205;0.1571454;0.06724362883360112;4.529045999999999;4.1221139;1.2856025;0.0;1.0;580644;254;254;20.12901212901213;0.225
8;256;1;1;c;c;10;0.1196235;0.1287372;0.034610906514180376;4.8575345;4.749795000000001;1.2856025;400.0;1.0;580644;254;254;5.581378240897483;0.8696649811881425
8;256;1;1;d;d;10;0.1168775;0.1219971;0.018373018976810044;4.9684185;4.8475729;1.2856025;400.0;1.0;580644;254;254;5.712510962332357;0.8696649811881425
8;256;1;2;a;a;10;0.12768249999999998;0.135108;0.044204676738503076;4.547859000000001;4.5849626;1.2856025;0.0;1.0;580644;254;254;20.211383705676194;0.225
8;256;1;2;b;b;10;0.11128299999999999;0.1309697;0.06024806346735691;5.218274;4.8775154999999994;1.2856025;0.0;1.0;580644;254;254;23.189885247522085;0.225
8;256;1;2;c;c;10;0.1194215;0.15384910000000002;0.10357734344113206;4.8656345000000005;4.5873337;1.2856025;720.0;1.0;580644;254;254;5.247832258010492;0.9265043784625597
8;256;1;2;d;d;10;0.1108995;0.145309;0.10309812476794458;5.235942;4.8370105;1.2856025;720.0;1.0;580644;254;254;5.651098517125866;0.9265043784625597
8;256;1;8;a;a;10;0.11470250000000001;0.1656973;0.12231510504344462;5.062179;4.5401229999999995;1.2856025;0.0;1.0;580644;254;254;22.49855059828687;0.225
8;256;1;8;b;b;10;0.11655650000000001;0.13850880000000002;0.05640974334831016;4.990239000000001;4.6728099;1.2856025;0.0;1.0;580644;254;254;22.14067855503554;0.225
8;256;1;8;c;c;10;0.11109949999999999;0.12451090000000001;0.03319357102227946;5.2264885;4.9173473;1.2856025;2640.0;1.0;580644;254;254;5.36441658153277;0.9742610539880265
8;256;1;8;d;d;10;0.107519;0.1219646;0.029145180867893448;5.400379;4.9680976;1.2856025;2640.0;1.0;580644;254;254;5.543057506115198;0.9742610539880265
8;256;20;1;a;a;10;0.689731;0.6950692;0.02281636543166135;113.7091365;112.93789899999999;163.8358955;0.0;1.0;78428736;216;216;455.1072345595602;0.2498513674197384
8;256;20;1;b;b;10;0.7328065;0.7386868;0.0265083177671546;107.02523049999999;106.28777729999999;163.8358955;0.0;1.0;78428736;216;216;428.35532708839236;0.2498513674197384
8;256;20;1;c;c;10;0.1704445;0.1735146;0.006734875486764564;460.1417295;452.5717566;163.8358955;9216.0;1.0;78428736;216;216;40.512237121174344;11.358108108108109
8;256;20;1;d;d;10;0.316928;0.32415099999999997;0.013692626661414856;247.465464;242.3178784;163.8358955;9216.0;1.0;78428736;216;216;21.7875605815832;11.358108108108109
8;256;20;2;a;a;10;0.8453535;0.8554136;0.033891305903169675;92.77628849999999;91.8035153;163.8358955;0.0;1.0;78428736;216;216;371.3258039388256;0.2498513674197384
8;256;20;2;b;b;10;0.7196665;0.7289068999999999;0.027751532900404285;108.9792945;107.7263793;163.8358955;0.0;1.0;78428736;216;216;436.1764345012586;0.2498513674197384
8;256;20;2;c;c;10;0.1771775;0.1783209;0.006175747628155367;442.656125;440.2682562;163.8358955;10752.0;1.0;78428736;216;216;23.992211200632134;18.45
8;256;20;2;d;d;10;0.6185985;0.6310456;0.027126022799764327;126.7847955;124.4828781;163.8358955;10752.0;1.0;78428736;216;216;6.871791638680015;18.45
8;256;20;8;a;a;10;2.1158099999999997;2.1256684;0.06855217824110318;37.067952500000004;36.9284226;163.8358955;0.0;1.0;78428736;216;216;148.35999829852398;0.2498513674197384
8;256;20;8;b;b;10;2.0940265;2.093317;0.02097843978416356;37.4537745;37.4696548;163.8358955;0.0;1.0;78428736;216;216;149.90334076478976;0.2498513674197384
8;256;20;8;c;c;10;0.818165;0.7936345;0.038897682676621144;95.8596605;99.04363040000001;163.8358955;19968.0;1.0;78428736;216;216;2.8639308696900994;33.4712389380531
8;256;20;8;d;d;10;0.7573915;0.7476887999999999;0.03658124897570094;103.55184249999999;105.13431729999999;163.8358955;19968.0;1.0;78428736;216;216;3.093734218036511;33.4712389380531
8;512;1;1;a;a;10;0.1201155;0.1181882;0.009480334461985566;19.49534;19.9289129;5.334855;0.0;1.0;2340900;510;510;86.61663149218877;0.225
8;512;1;1;b;b;10;0.11659800000000001;0.11549179999999999;0.009640332449315909;20.0812965;20.4016667;5.334855;0.0;1.0;2340900;510;510;89.22966088612154;0.225
8;512;1;1;c;c;10;0.1094125;0.1111126;0.009632752372331937;21.395591500000002;21.204698099999998;5.334855;400.0;1.0;2340900;510;510;24.483491374385924;0.8738614304912647
8;512;1;1;d;d;10;0.1117615;0.1453387;0.07509684939396591;20.95022;18.721696599999998;5.334855;400.0;1.0;2340900;510;510;23.968898055233687;0.8738614304912647
8;512;1;2;a;a;10;0.112973;0.12161770000000001;0.02809326225687101;20.725413;19.9977283;5.334855;0.0;1.0;2340900;510;510;92.09280093473662;0.225
8;512;1;2;b;b;10;0.112757;0.1140272;0.016201117456658486;20.772514;20.8745407;5.334855;0.0;1.0;2340900;510;510;92.26921610188282;0.225
8;512;1;2;c;c;10;0.1130755;0.1112689;0.009852336298789458;20.702153;21.1902807;5.334855;720.0;1.0;2340900;510;510;22.241422766204884;0.9307901517320355
8;512;1;2;d;d;10;0.1011455;0.1357202;0.10357065151737403;23.1561475;21.0738816;5.334855;720.0;1.0;2340900;510;510;24.86477401367337;0.9307901517320355
8;512;1;8;a;a;10;0.111654;0.182235;0.13916175177269235;21.0232585;17.7408297;5.334855;0.0;1.0;2340900;510;510;93.18071900693212;0.225
8;512;1;8;b;b;10;0.1060815;0.1276064;0.050032438258038596;22.0684775;20.140554;5.334855;0.0;1.0;2340900;510;510;98.07553626221349;0.225
8;512;1;8;c;c;10;0.0989695;0.11424890000000001;0.03098296196460242;23.6527235;21.494768099999998;5.334855;2640.0;1.0;2340900;510;510;24.169870515663916;0.9786043945018561
8;512;1;8;d;d;10;0.104015;0.1443669;0.10399192400208564;22.5053695;19.831579400000003;5.334855;2640.0;1.0;2340900;510;510;22.99745229053502;0.9786043945018561
8;512;20;1;a;a;10;2.850148;2.8352556;0.045290643324102924;131.39667350000002;132.11834760000002;746.9851115;0.0;1.0;374499904;472;472;525.8992697923055;0.2498513674197384
8;512;20;1;b;b;10;2.6542765;2.6394297;0.0415585502020944;141.093017;141.9195584;746.9851115;0.0;1.0;374499904;472;472;564.7078411009554;0.2498513674197384
8;512;20;1;c;c;10;0.698226;0.6946155;0.01050260490703775;536.3588930000001;539.2618695;746.9851115;9216.0;1.0;374499904;472;472;47.22257836287964;11.358108108108109
8;512;20;1;d;d;10;1.3418755;1.3349508;0.019737731203628;279.0869815;280.5919415;746.9851115;9216.0;1.0;374499904;472;472;24.5716029542234;11.358108108108109
8;512;20;2;a;a;10;3.7954035;3.7766700999999996;0.05872754712408038;98.6719565;99.18383639999999;746.9851115;0.0;1.0;374499904;472;472;394.9226352349625;0.2498513674197384
8;512;20;2;b;b;10;3.2256125;3.2069381999999997;0.05024852614488636;116.101949;116.8048282;746.9851115;0.0;1.0;374499904;472;472;464.68407224984406;0.2498513674197384
8;512;20;2;c;c;10;0.68096;0.6778229;0.009637319895420455;549.959042;552.608186;746.9851115;10752.0;1.0;374499904;472;472;29.256015037593986;18.79814253222138
8;512;20;2;d;d;10;2.652688;2.6379387999999997;0.042494361131279045;141.177518;142.0013549;746.9851115;10752.0;1.0;374499904;472;472;7.510184386554318;18.79814253222138
8;512;20;8;a;a;10;8.116813;8.0862692;0.1194792545570612;46.138789;46.3225103;746.9851115;0.0;1.0;374499904;472;472;184.66493585598187;0.2498513674197384
