BS;N;R;k;mode;actualMode;n_runs;avgKernelMs_med;avgKernelMs_mean;avgKernelMs_std;gflops_med;gflops_mean;cpuMs_med;sharedBytes_med;pass_rate;ops;outWidth;outHeight;estBandwidth_GBps;arithIntensity_FlopPerByte
32;256;1;1;a;a;10;0.097707;0.1347506;0.06509651990732257;5.9427125;4.9661580999999995;1.2856025;0.0;1.0;580644;254;254;26.41202779739425;0.225
32;256;1;1;b;b;10;0.097807;0.1634484;0.12659288457027204;5.936636;4.8413550999999995;1.2856025;0.0;1.0;580644;254;254;26.38502356682037;0.225
32;256;1;1;c;c;10;0.098816;0.1319057;0.06470249228421489;5.876321;5.0407234;1.2856025;4624.0;1.0;580644;254;254;5.606379533678757;1.0480938628158845
32;256;1;1;d;d;10;0.098603;0.1207099;0.04473619961371079;5.888694;5.2123927000000005;1.2856025;4624.0;1.0;580644;254;254;5.618490309625468;1.0480938628158845
32;256;1;2;a;a;10;0.0977005;0.1252095;0.0540197716154825;5.943087500000001;5.1576211;1.2856025;0.0;1.0;580644;254;254;26.413784985747256;0.225
32;256;1;2;b;b;10;0.09783;0.1258016;0.05620626368455545;5.935213;5.1561233;1.2856025;0.0;1.0;580644;254;254;26.378820402739446;0.225
32;256;1;2;c;c;10;0.0997095;0.12385760000000001;0.05438399892574612;5.8247755;5.1855400000000005;1.2856025;8976.0;1.0;580644;254;254;5.468847000536559;1.064823508699862
32;256;1;2;d;d;10;0.0979055;0.11511020000000001;0.03184155917036727;5.930655;5.3138064;1.2856025;8976.0;1.0;580644;254;254;5.569615598715088;1.064823508699862
32;256;1;8;a;a;10;0.099482;0.1144508;0.026083515248779894;5.837045;5.270993;1.2856025;0.0;1.0;580644;254;254;25.940773205202948;0.225
32;256;1;8;b;b;10;0.102807;0.1149173;0.024675475589472765;5.6479420000000005;5.2279377;1.2856025;0.0;1.0;580644;254;254;25.10179267948681;0.225
32;256;1;8;c;c;10;0.098315;0.11264099999999999;0.02586531310461947;5.9059445;5.3561954;1.2856025;35088.0;1.0;580644;254;254;5.480018308498194;1.0777254773854423
32;256;1;8;d;d;10;0.098684;0.1472654;0.11286566098409993;5.8838755;4.9696444;1.2856025;35088.0;1.0;580644;254;254;5.459527380325078;1.0777254773854423
32;256;20;1;a;a;10;0.381305;0.3794459;0.005986387975139023;205.6851785;206.74065059999998;163.8358955;0.0;1.0;78428736;216;216;823.2296140884594;0.2498513674197384
32;256;20;1;b;b;10;0.43094699999999997;0.4310856;0.008524467141378665;181.99152650000002;181.9984303;163.8358955;0.0;1.0;78428736;216;216;728.3994737171856;0.2498513674197384
32;256;20;1;c;c;10;0.118989;0.1209957;0.018796854376611938;659.1582865;660.5817923;163.8358955;20736.0;1.0;78428736;216;216;10.107556160653505;65.21120689655173
32;256;20;1;d;d;10;0.6613720000000001;0.6596105;0.0054613804777018;118.5849065;118.90906729999999;163.8358955;20736.0;1.0;78428736;216;216;1.8184743230738525;65.21120689655173
32;256;20;2;a;a;10;0.658176;0.6552244;0.00855315278063529;119.160737;119.7164746;163.8358955;0.0;1.0;78428736;216;216;476.926487747958;0.2498513674197384
32;256;20;2;b;b;10;0.6734475;0.6701355;0.00981769899778514;116.45862600000001;117.05759600000002;163.8358955;0.0;1.0;78428736;216;216;466.111416257392;0.2498513674197384
32;256;20;2;c;c;10;0.24682900000000002;0.2457202;0.003461354095982924;317.74549950000005;319.2381613;163.8358955;29952.0;1.0;78428736;216;216;4.153806886548987;76.49494382022472
32;256;20;2;d;d;10;1.664945;1.6575175999999998;0.025118174492232203;47.1059065;47.3271213;163.8358955;29952.0;1.0;78428736;216;216;0.6158041256618088;76.49494382022472
32;256;20;8;a;a;10;3.2605675;3.2444818;0.04643652190727097;24.053708999999998;24.1775853;163.8358955;0.0;1.0;78428736;216;216;96.2720655223362;0.2498513674197384
